YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
1990,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),111750
1991,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),125485
1992,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),141279
1993,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),136230
1994,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),136381
1995,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),132520
1996,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),158560
1997,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),119412
1998,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),124988
1999,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),126387
2000,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),125971
2001,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),97308
2002,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),131230
2003,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),156306
2004,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),135143.74
2005,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),109915.51
2006,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),114664.8
2007,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),114904.45
2008,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),96757.07
2009,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),83593.22
2010,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),90057.78
2011,US-TOTAL,Total Electric Power Industry,Other Gases (Billion Btu),91290.16
2012,US-Total,Total Electric Power Industry,Other Gases (Billion Btu),103353
2013,US-Total,Total Electric Power Industry,Other Gases (Billion Btu),115303.07
2014,US-Total,Total Electric Power Industry,Other Gases (Billion Btu),110010.03
2015,US-Total,Total Electric Power Industry,Other Gases (Billion Btu),105997
2016,US-Total,Total Electric Power Industry,Other Gases (Billion Btu),73785
